timestamp,meter_reading,air_temperature,dew_temperature,sea_level_pressure,wind_speed,cloud_coverage
2016-02-29 09:00:00,1857.26,12.8,8.9,1021.9,0.0,6.0
2016-02-29 10:00:00,2659.25,12.2,9.4,1021.9,0.0,6.0
2016-02-29 11:00:00,2912.51,12.8,9.4,1022.1,0.0,6.0
2016-02-29 12:00:00,3039.15,11.1,8.9,1022.7,0.0,6.0
2016-02-29 13:00:00,3207.99,13.3,11.1,1023.1,0.0,6.0
2016-02-29 14:00:00,3334.62,16.7,10.6,1023.3,0.0,6.0
2016-02-29 15:00:00,3461.25,21.1,9.4,1023.2,2.1,6.0
2016-02-29 16:00:00,3376.83,21.7,8.3,1023.1,1.5,6.0
2016-02-29 17:00:00,2954.72,22.2,8.3,1022.7,0.0,6.0
2016-02-29 18:00:00,3081.36,23.9,8.3,1021.6,2.1,6.0
2016-02-29 19:00:00,2743.67,23.9,8.3,1020.7,1.5,6.0
2016-02-29 20:00:00,2532.62,25.0,7.8,1019.8,3.1,6.0
2016-02-29 21:00:00,1899.47,24.4,7.8,1019.4,2.6,6.0
2016-02-29 22:00:00,1266.31,23.9,7.2,1019.3,1.5,6.0
2016-02-29 23:00:00,675.3660000000001,22.2,7.8,1019.5,3.1,4.0
2016-03-01 00:00:00,675.3660000000001,20.0,8.3,1020.1,2.6,2.0
2016-03-01 01:00:00,717.576,18.3,11.1,1020.7,3.1,2.0
2016-03-01 02:00:00,675.3660000000001,17.8,12.2,1021.2,3.1,2.0
2016-03-01 03:00:00,675.3660000000001,16.7,12.2,1021.5,0.0,0.0
2016-03-01 04:00:00,675.3660000000001,16.7,12.2,1021.9,0.0,0.0
2016-03-01 05:00:00,717.576,15.0,11.7,1021.6,0.0,0.0
2016-03-01 06:00:00,548.735,13.9,12.2,1021.1,0.0,2.0
2016-03-01 07:00:00,2068.31,15.0,12.2,1021.0,0.0,2.0
2016-03-01 08:00:00,2279.36,14.4,12.2,1020.4,2.1,2.0
2016-03-01 09:00:00,2659.25,13.9,11.7,1019.9,0.0,2.0
2016-03-01 10:00:00,2954.72,13.9,10.6,1020.3,0.0,0.0
2016-03-01 11:00:00,3207.99,13.9,10.0,1020.9,1.5,4.0
